id,brand_id,brand_name,product_name,categories,discount,discount_rate,list_price,price,rating_average,review_count,sku,short_url,inventory_status,stock_item_qty,stock_item_max_sale_qty
31638135,488103,MRM Manlywear,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên",Quần lót nam,85000,25,340000,255000,4.7,1250,5847364002357,https://tiki.vn/product-p31638135.html?spid=31638138,available,1000,1000
82819910,718933,ARADO FASHION,"Áo Polo nam cổ bẻ ngắn tay, chất liệu vải cá sấu cotton cao cấp, trẻ trung, năng động – FORMEN SHOP – FMPS150",Áo thun nam ngắn tay có cổ,40000,18,219000,179000,4.8,205,4769927062212,https://tiki.vn/product-p82819910.html?spid=82819932,available,1000,1000
111850645,5003355,US ARMY,"Bộ Quần Áo KaKi Lính Mỹ US ARMY U569 Kiểu Dáng Túi Hộp Chiến Thuật, Chất Liệu Kaki Cao Cấp Phong Cách Lính Cực Ngầu - HÀNG CHÍNH HÃNG",Đồ mặc nhà nam - Bộ dài,899000,50,1798000,899000,4.5,2,6462314065582,https://tiki.vn/product-p111850645.html?spid=174217141,available,1000,1000
38496061,224521,Doka,Combo 7 Quần lót nam tam giác cotton xịn nhiều lưng có size lớn màu ngẫu nhiên cao cấp mặc cực thoãi mái underwear SỊP HN7,Thời Trang,66300,49,135000,68700,4.5,185,1272823224867,https://tiki.vn/product-p38496061.html?spid=38496138,available,1000,1000
126701222,159835,LADOS,Quần tây cao cấp dài LADOS - 1327 - Hàng chất lượng ( ẢNH THẬT) chất dày dặn co giãn nhẹ thoải mái,Quần tây nam,151000,43,350000,199000,4.5,70,9735256398643,https://tiki.vn/product-p126701222.html?spid=126701238,available,1000,1000
31638135,488103,MRM Manlywear,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên",Quần lót nam,85000,25,340000,255000,4.7,1250,5847364002357,https://tiki.vn/product-p31638135.html?spid=31638138,available,1000,1000
99958075,488103,MRM Manlywear,"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",Quần thun nam ngắn,70000,35,199000,129000,4.7,497,4345512315085,https://tiki.vn/product-p99958075.html?spid=99958305,available,1000,1000
176250783,488103,MRM Manlywear,Áo thun nam Cotton Compact Premium trẻ trung năng động thấm hút mồ hôi co giãn 4 chiều MRM Manlywear,Áo thun nam ngắn tay không cổ,100000,40,249000,149000,5.0,149,2018052320603,https://tiki.vn/product-p176250783.html?spid=176250796,available,1000,1000
99968881,488103,MRM Manlywear,"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",Quần thun nam ngắn,144000,36,399000,255000,4.8,574,4423892093285,https://tiki.vn/product-p99968881.html?spid=99968992,available,1000,1000
31637590,488103,MRM Manlywear,Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,Root,91000,27,340000,249000,4.7,826,9283065092857,https://tiki.vn/product-p31637590.html?spid=31637594,available,1000,1000
